status_id,status_message,status_author,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
558429457587216_1226384604125028,Solo Bass Alone Together with an a little intro. C&C welcome #jamoftheweek,Timothy Fenton,,video,https://www.facebook.com/10205873762876110/videos/10210440910371943,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226384604125028/,1/17/2017 16:21,15,0,0,15,0,0,0,0,0
558429457587216_1226308327465989,"It's been a long while since I've posted, but I have most of the day off today, and I love improvising on this tune (Alone Together)--it sounds good at any tempo! I chose moderately brisk. Comments welcomed, as always. Peace!",Matt Landon,,video,https://www.facebook.com/10205353415137448/videos/10211871874094848,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226308327465989/,1/17/2017 14:30,39,2,0,39,0,0,0,0,0
558429457587216_1226291134134375,One chorus Alone Together...love this tune! #jamoftheweek C // C welcomed,Zakk Jones,,video,https://www.facebook.com/10203953316015200/videos/10208585434295262,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226291134134375/,1/17/2017 13:56,72,2,1,70,1,1,0,0,0
558429457587216_1226239204139568,"Alone Together with Bassoon, Accordion and Bass...I hope you enjoy it!
",Alexandre Silverio,"Alexandre Silvério - Daniel Grajew - Igor Pimenta: ""Alone Together""",video,https://www.youtube.com/watch?v=aSesZnmQIPc,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226239204139568/,1/17/2017 12:19,16,2,0,16,0,0,0,0,0
558429457587216_1221923117904510,#BurbonStreetParade,Dave Manley,,video,https://www.facebook.com/10153333458182738/videos/10155686579197738,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1221923117904510/,1/13/2017 00:32,34,5,2,32,2,0,0,0,0
558429457587216_1226186507478171,"""Alone Together""; Once through, simple stuff. Working on my piano comping more, so used iRealB for bass/drums. C&C welcome. ",Duane Massey,Alone Together (JOTW) Duane Massey,video,https://youtu.be/odgdkRkYpKg,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226186507478171/,1/17/2017 11:00,9,3,1,9,0,0,0,0,0
558429457587216_1222532594510229,¨Bourbon Street Parade¨  yuuuhuuuu,Artem Zhuliev,,status,,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1222532594510229/,1/13/2017 13:21,35,2,0,33,2,0,0,0,0
558429457587216_1225508537545968,"Please excuse the late post and poor audio quality (left my recording stuff at work!) of my virgin post on here. (This is what tinnitus sounds like, kids - always wear earplugs). A Ballad and boogie version of Bourbon Street Parade. Leave a comment but please be gentle as this is my first time. #JamoftheWeek #BourbonStreetParade",James Edward Philip Rotheram,,video,https://www.facebook.com/10155096299245403/videos/10158009941055403,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1225508537545968/,1/16/2017 15:26,8,2,1,7,1,0,0,0,0
558429457587216_1218719184891570,Week #156 - Bourbon St. Parade,Farnell Newton,Week #156 - Bourbon St. Parade | Jam of the Week | An Inspirational Social Media Group,link,http://www.jamoftheweek.com/single-post/2017/01/09/Week-156-Bourbon-St-Parade,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1218719184891570/,1/9/2017 09:50,49,9,3,47,2,0,0,0,0
558429457587216_1224622110967944,"Here's my take on Bourbon Street Parade!

Everything went wrong about the framing on this one, but if you really want to see my face I can send you a photo inbox maybe ...

C&C Welcome!

#jamoftheweek #BourbonStreetParade #jazzguitar",Luca Alves,,video,https://www.facebook.com/698200166925160/videos/1427211837357319,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1224622110967944/,1/15/2017 16:58,34,4,1,29,5,0,0,0,0
558429457587216_1224374594326029,"Here's my take on Bourbon Street Parade.C&C Welcome.
#JOTW",Yasuhiro Sakake,,video,https://www.facebook.com/399350070257957/videos/570354093157553,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1224374594326029/,1/15/2017 11:32,55,3,9,48,7,0,0,0,0
558429457587216_900729600023865,#TakeFive: #Conga ##Cascara #YamahaNylonString  over clave in 5/4,Dave Manley,,video,https://www.facebook.com/10153333458182738/videos/10154380669287738,https://www.facebook.com/groups/jamoftheweekgroup/permalink/900729600023865/,11/21/2015 15:00,140,19,5,140,0,0,0,0,0
558429457587216_1219004461529709,#BourbonStreetParade #jamoftheweek,Raviv Markovitz,,video,https://www.facebook.com/10202589118501606/videos/10209612948772973,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1219004461529709/,1/9/2017 17:41,59,4,0,57,2,0,0,0,0
558429457587216_1224716707625151,Bourbon street parade  (Paul Barbarin) guitar cove.,Clarence Swindle,,video,https://www.facebook.com/216823325331159/videos/414494812230675,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1224716707625151/,1/15/2017 19:22,9,0,1,8,1,0,0,0,0
558429457587216_1209463845817104,First two choruses of Dexter Gordon's solo on Days of Wine and Roses.,Nathaniel Koenig,,video,https://www.facebook.com/4969789698979/videos/10202521509715437,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1209463845817104/,12/29/2016 20:03,27,3,1,27,0,0,0,0,0
558429457587216_1219525318144290,"#Bourbonstreetparade
An unplugged debut of my new D'Angelico Archtop, it sounds so good unamplified thought I'd just make a video this way.",Kevan Smedt,,video,https://www.facebook.com/10204764749253548/videos/10210471284193355,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1219525318144290/,1/10/2017 08:47,65,13,1,62,2,1,0,0,0
558429457587216_1224614637635358,"My 9 year old son Solomon singing Cyrille Aimée  (his favourite singer!) Make You Dance. I posted this on my timeline several weeks ago but one of my students suggested I post it in Jam of The Week, so, here it is!",Anna-Lisa Kirby,,status,,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1224614637635358/,1/15/2017 16:50,12,0,0,9,3,0,0,0,0
558429457587216_1224607394302749,https://youtu.be/VndgMyyLlkg,Onur Ozaltun,Steve Vai TEACHES his VIBRATO Technique - Rare Video,video,https://youtu.be/VndgMyyLlkg,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1224607394302749/,1/15/2017 16:41,7,0,0,7,0,0,0,0,0
